Failure Number,Time to Failure
1,33
1,9
1,4
1,66
1,0.5
1,18
1,149
1,14
1,15
1,50
1,81
1,34
1,85
1,54
1,3
1,15
1,6
1,8
1,130
1,19
1,19
1,112
1,15
1,16
1,154
1,50
1,10
1,2
1,22
1,53
1,19
1,58
1,20
1,3
1,92
1,5
1,66
1,289
1,3
1,9
1,12
1,18
1,9
1,75
1,15
1,291
1,212
1,4
1,5
1,308
1,269
1,276
1,1
1,400
1,294
1,227
1,118
1,13
1,47
1,89
1,242
1,99
1,607
1,83
1,2
1,26
1,586
1,708
1,6
1,4
1,55
1,409
1,36
1,15
1,573
1,583
1,60
1,19
1,20
1,79
1,24
1,540
1,52
1,1596
1,314
1,1
1,763
1,10
1,20
1,144
1,28
1,56
1,476
1,65
1,98
1,884
1,212
1,287
1,53
1,3
1,831
1,43
1,55
1,109
